Filename,Tokens,AWL,TTR,AMP,ANDC,[BEMA],[BYPA],CAUS,CONC,COND,CONJ,[CONT],DEMO,DEMP,DPAR,DWNT,EMPH,EX,FPP1,GER,HDG,INPR,JJ,NEMD,NN,NOMZ,OSUB,[PASS],[PASTP],[PEAS],PHC,PIN,[PIRE],PIT,PLACE,POMD,PRED,[PRESP],[PRIV],PRMD,[PROD],[PUBV],RB,[SERE],[SMP],[SPAU],[SPIN],SPP2,[STPR],[SUAV],SYNE,THAC,[THATD],THVC,TIME,TO,TOBJ,TPP3,TSUB,VBD,VPRT,[WHCL],[WHOBJ],[WHQU],[WHSUB],[WZPAST],[WZPRES],XX0,
SK82,7258,3.87,163,0.50,0.47,3.40,0.03,0.58,0.06,0.30,0.07,3.53,0.95,0.92,0.23,0.26,1.32,0.47,6.06,0.29,0.22,0.08,4.84,0.32,15.11,0.55,0.14,1.03,0,0.51,0.37,6.41,0.06,2.12,0.37,0.65,1.07,0.03,2.96,0.81,0.47,0.39,5.41,0.01,0.04,0.26,0,2.31,0.14,0.25,0.08,0.03,1.02,0.22,0.43,1.76,0.11,3.50,0.11,7.36,5.95,0.15,0.03,0.07,0.30,0.04,0.12,1.94,
SK8N,9186,3.65,173,0.19,0.32,3.39,0,0.07,0.03,0.47,0.09,5.11,0.88,1.31,0.16,0.13,0.87,0.23,3.68,0.11,0.13,0.04,6.84,0.13,21.87,0.40,0.05,0.38,0.01,0.26,0.22,5.09,0.03,3.72,0.20,0.91,0.74,0.03,1.23,0.65,0.27,0.71,5.79,0.01,0.04,0.23,0,4.10,0.36,0.37,0.19,0.01,0.48,0.10,0.30,0.96,0.07,0.77,0.08,2.29,8.46,0.05,0.04,0.13,0.08,0.02,0.08,1.63,
SK8T,7738,3.61,168,0.16,0.47,2.83,0,0.21,0.25,0.26,0.03,5.52,0.92,0.97,0.12,0.12,1.91,0.59,7.78,0.35,0.04,0.10,3.94,0.04,14.98,0.14,0.12,0.59,0.01,0.18,0.35,5.80,0,2.29,0.25,0.58,0.80,0,1.55,1.18,0.41,0.56,4.52,0,0,0.35,0,2.39,0.25,0.17,0.10,0.01,0.58,0.09,0.34,1.16,0.06,4.08,0.10,6.47,7.65,0.16,0,0.04,0.05,0.01,0.16,2.03,
SKA7,1970,3.80,172,0,0.10,3.86,0,0.46,0.15,0.46,0.05,5.99,1.17,1.12,0.15,0.10,2.49,0.10,7.11,0.25,0.20,0,6.65,0.30,13.86,0.15,0.15,0.10,0,0.05,0.20,4.11,0,2.28,0.15,1.17,1.27,0.10,2.84,1.68,0.46,0.51,5.99,0,0,0.51,0.05,3.96,0.30,0.30,0.15,0.05,0.86,0.20,0.25,1.57,0.05,2.23,0.05,1.57,11.32,0.15,0,0.20,0.05,0,0.05,1.83,
SKB5,7855,3.68,174,0.17,0.27,3.13,0,0.15,0.19,0.36,0.01,6.37,0.80,1.18,0.18,0.17,1.51,0.24,6.25,0.47,0.04,0.05,4.34,0.10,14.16,0.45,0.14,0.36,0.04,0.15,0.37,5.75,0,3.27,0.18,0.79,0.84,0.04,2.06,0.83,0.59,0.46,5.42,0.03,0,0.39,0.03,3.83,0.28,0.19,0.18,0.04,0.76,0.17,0.70,1.64,0.09,3.13,0.04,3.14,10.67,0.22,0.01,0.23,0.08,0,0.04,2.32,
SKBN,2873,3.59,146,0.14,0.73,3.45,0,0.10,0.17,0.42,0,6.20,0.94,1.18,0.59,0.17,1.74,0.24,4.32,0.17,0.21,0,4.18,0.24,17.96,0.07,0.14,0.17,0,0.24,0.28,5.88,0,4.87,0.35,0.66,1.08,0.17,1.88,1.08,0.49,0.10,4.46,0.03,0,0.14,0.03,3.69,0.73,0.07,0.03,0.03,0.63,0,0.31,1.22,0.07,3.97,0.07,2.99,10.37,0.24,0,0.35,0.14,0.07,0,1.78,
SKCY,11817,3.71,167,0.17,1.22,3.48,0,0.20,0.16,0.39,0.03,5.47,1.07,1.02,0.31,0.13,2.30,0.41,5.47,0.33,0.47,0.05,4.34,0.11,16.40,0.35,0.14,0.35,0.02,0.46,0.36,5.63,0.01,3.10,0.24,0.58,0.98,0,2.61,0.97,0.49,0.27,5.31,0.08,0.03,0.38,0.01,2.52,0.36,0.26,0.18,0.04,0.94,0.14,0.57,1.25,0.13,3.86,0.08,4.18,9.21,0.19,0.01,0.18,0.12,0.02,0.14,2.09,
SKDA,14260,3.70,174,0.19,0.53,3.32,0.01,0.04,0.15,0.26,0.02,5.58,1.05,1.07,0.26,0.19,1.54,0.50,5.60,0.26,0.13,0.07,5.15,0.15,17.25,0.20,0.08,0.42,0.01,0.35,0.28,6.42,0,3.69,0.27,0.51,0.98,0.05,1.99,0.87,0.34,0.53,5.91,0.02,0.01,0.26,0,3.17,0.34,0.11,0.21,0.03,0.83,0.13,0.55,0.66,0.03,2.99,0.11,5.11,8.61,0.13,0,0.17,0.04,0.02,0.19,2.31,
SKDP,5288,3.80,188,0.45,0.76,3.42,0.04,0.30,0.11,0.28,0.02,5.26,0.66,1.12,0.72,0.21,1.49,0.40,3.84,0.51,0.21,0,5.37,0.11,17.89,0.47,0.06,0.61,0.06,0.45,0.36,6.24,0.08,3.29,0.26,0.59,1.21,0.04,1.87,1.06,0.49,0.57,5.94,0.02,0.02,0.32,0,3.40,0.32,0.15,0.09,0.09,0.87,0.23,0.43,1.36,0.11,2.99,0.08,2.76,9.23,0.09,0.02,0.21,0.11,0.02,0.13,1.44,
SKDX,28283,3.74,160,0.22,0.81,3.89,0.01,0.51,0.09,0.21,0.02,4.67,1.15,1.65,0.14,0.09,1.53,0.47,6.11,0.19,0.31,0.04,3.95,0.17,14.72,0.43,0.22,0.66,0.01,0.56,0.36,5.75,0.01,2.31,0.24,0.64,1.03,0.02,3.53,0.75,0.33,0.89,7.33,0.03,0.03,0.20,0.02,2.37,0.11,0.16,0.08,0.04,1.29,0.28,0.36,1.07,0.14,5.09,0.05,5.65,8.61,0.19,0.02,0.06,0.14,0.05,0.05,1.61,
SKEG,2894,4.04,176,0.28,0.31,4.46,0,0.14,0.10,0.21,0.07,6.22,1.04,1.90,0.48,0.07,1.24,0.69,3.63,0.17,0.14,0,7.15,0.07,17.31,0.59,0,0.41,0,0.28,0.35,6.63,0,4.18,0.79,0.59,1.24,0.03,2.56,0.45,0.38,0.35,5.32,0,0.03,0.24,0,2.83,0.03,0.10,0.28,0.07,0.73,0.21,0.21,0.69,0.07,1.42,0.10,2.59,11.20,0.28,0.03,0.10,0.24,0,0.03,2.45,
SKEQ,15157,3.69,162,0.22,0.84,3.13,0,0.23,0.11,0.34,0.03,6.27,0.88,1.07,0.32,0.13,1.43,0.65,5.43,0.22,0.15,0.07,4.37,0.13,16.90,0.38,0.09,0.60,0.01,0.33,0.31,5.38,0.01,2.96,0.20,0.85,0.87,0.05,1.70,0.88,0.44,0.61,5.03,0.03,0.02,0.30,0.01,3.01,0.28,0.21,0.28,0.03,0.53,0.12,0.51,1.13,0.03,3.89,0.09,5.20,8.97,0.18,0.02,0.17,0.10,0.03,0.16,2.14,
SKGU,8505,3.57,161,0.18,1.38,2.46,0,0.31,0.05,0.74,0.06,6.71,1.02,1.22,0.33,0.12,1.49,0.16,7.88,0.25,0.09,0.02,3.15,0.09,13.45,0.32,0.06,0.36,0.02,0.24,0.28,5.41,0.01,2.81,0.15,1.40,0.92,0.08,2.49,1.28,0.63,1.39,4.61,0.07,0,0.29,0.01,4.00,0.44,0.16,0.15,0.02,1.13,0.15,0.25,1.46,0.11,4.73,0.02,3.36,11.06,0.25,0,0.07,0.06,0.01,0.08,2.68,
SKHW,21526,3.71,157,0.16,0.45,3.39,0.02,0.12,0.20,0.47,0.01,6.12,1.08,1.51,0.17,0.17,1.95,0.39,5.31,0.29,0.20,0.03,4.39,0.26,16.09,0.31,0.05,0.39,0.02,0.17,0.32,4.98,0.02,3.39,0.21,0.54,1.18,0.06,2.22,0.86,0.40,0.51,4.91,0.04,0.01,0.31,0.01,3.12,0.33,0.13,0.18,0.02,0.71,0.15,0.44,0.87,0.10,3.08,0.09,4.75,9.63,0.22,0.02,0.30,0.09,0.02,0.13,1.98,
SKJ3,3512,3.64,155,0.03,0.28,2.90,0,0.23,0.23,0.51,0.03,6.61,1.22,0.91,0.20,0.26,1.57,0.60,5.67,0.28,0.14,0.06,4.90,0.14,15.60,0.17,0.09,0.51,0,0.34,0.40,6.15,0,3.05,0.40,0.60,0.68,0.06,2.68,1.14,0.43,0.43,4.81,0.03,0.09,0.23,0,4.10,0.23,0.14,0.14,0.03,0.94,0.11,0.71,1.28,0.03,2.82,0.06,3.64,9.77,0.37,0,0.26,0,0,0.11,2.65,
SKJ4,2299,3.58,162,0.17,0.48,2.74,0,0.22,0.09,0.52,0,7.09,0.78,1.04,0.70,0.13,1.39,0.13,6.09,0.22,0.35,0,4.13,0.17,16.66,0.30,0.09,0.26,0,0.26,0.17,4.18,0,3.78,0.13,1.26,0.74,0.09,2.52,1.04,0.43,0.48,6.00,0,0,0.39,0,2.83,0.13,0.09,0.26,0.04,1.17,0.26,1.65,1.04,0.13,2.65,0.09,2.65,10.40,0.22,0,0.22,0.04,0,0.22,3.35,
