"filename","cefr","Dep_Clauses_per_Clause","lexical_density_types","B1","wpm","B2"
"C1Adv_1_4","C1",0.52,0.795180723,7.86290322580645,187.974683544304,3.2258064516129
"C1Adv_1_5","C1",0.348214286,0.803797468,5.10083036773428,186.914498141264,3.08422301304864
"C1Adv_1_6","C1",0.349206349,0.796934866,7.56578947368421,206.101694915254,3.45394736842105
"C1Adv_2_1","C1",0.25,0.698275862,4.93273542600897,210.47619047619,1.79372197309417
"C1Adv_2_2","C1",0.307692308,0.744360902,10.0961538461538,199.047619047619,3.84615384615385
"C1Adv_2_3","C1",0.28,0.660714286,4,205.862068965517,1
"C1Adv_2_4","C1",0.448275862,0.779411765,7.73381294964029,176.544502617801,4.13669064748201
"C1Adv_2_5","C1",0.388349515,0.785714286,7.30270906949352,166.123778501629,2.70906949352179
"C1Adv_2_6","C1",0.265625,0.796363636,6.34920634920635,166.470588235294,4.23280423280423
"C1Bus_1_1-12","C1",0.304347826,0.818181818,6.35245901639344,143.7,3.48360655737705
"C1Bus_1_13-22","C1",0.411764706,0.8,6.76100628930818,178.584905660377,2.83018867924528
"C1Bus_1_23-30","C1",0.404761905,0.783870968,6.69398907103825,169.384615384615,2.73224043715847
"C1Bus_2_1-12","C1",0.452380952,0.793103448,9.71223021582734,135.802469135802,7.01438848920863
"C1Bus_2_13-22","C1",0.453333333,0.821548822,7.84023668639053,173.304721030043,5.32544378698225
"C1Bus_2_23-30","C1",0.453488372,0.796774194,7.95610425240055,164.318181818182,3.97805212620027
"C2Prof_1-2","C2",0.266666667,0.700934579,9.78260869565217,184,3.80434782608696
"C2Prof_16-20","C2",0.378947368,0.793209877,7.69230769230769,201.115879828326,1.92307692307692
"C2Prof_21-30","C2",0.454545455,0.77254902,4.36241610738255,218.282208588957,1.84563758389262
"C2Prof_3-4","C2",0.266666667,0.660377358,5.88235294117647,182.686567164179,0.980392156862745
"C2Prof_5-6","C2",0.434782609,0.660194175,3.38983050847458,178,1.69491525423729
"C2Prof_7-15","C2",0.403508772,0.785454545,7.88590604026846,162.818181818182,2.68456375838926
